,team_name,team_rating,team_seed,team_slot,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id
1,Kansas,93.95,1,64,1.0,1.0,1.0,1.0,1.0,0.689093228981,0.405556618135,5,1,2305
2,Duke,92.67,2,28,1.0,1.0,1.0,1.0,1.0,0.617282603812,0.305866975924,5,1,150
3,North Carolina,89.95,8,36,1.0,1.0,1.0,1.0,1.0,0.382717396188,0.154445263414,5,1,153
4,Villanova,89.94,2,124,1.0,1.0,1.0,1.0,1.0,0.310906771019,0.134131142527,5,1,222
5,Arkansas,89.96,4,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,0,8
6,Saint Peter's,80.14,15,62,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,0,2612
7,Miami (FL),87.33,10,90,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,0,2390
8,Houston,92.15,5,104,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,0,248
9,Gonzaga,96.57,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,2250
10,Texas Tech,89.55,3,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,2641
11,UCLA,90.93,4,44,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,26
12,Purdue,90.06,3,52,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,2509
13,Providence,87.4,4,76,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,2507
14,Iowa State,83.03,11,82,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,66
15,Arizona,91.68,1,96,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,12
16,Michigan,86.19,11,114,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,130
17,Memphis,86.23,9,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,235
18,New Mexico State,79.91,12,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,166
19,Notre Dame,84.18,11,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,87
20,Michigan State,83.93,7,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,127
21,Baylor,88.82,1,32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,239
22,Saint Mary's (CA),85.52,5,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,2608
23,Texas,87.28,6,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,251
24,Murray State,82.13,7,56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,93
25,Creighton,79.32,9,70,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,156
26,Richmond,81.41,12,74,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,257
27,Wisconsin,84.9,3,84,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,275
28,Auburn,89.63,2,92,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,2
29,Texas Christian,84.24,9,102,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,2628
30,Illinois,87.63,4,108,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,356
31,Tennessee,89.09,3,116,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,2633
32,Ohio State,85.42,7,120,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,194
33,Georgia State,73.46,16,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2247
34,Boise State,82.49,8,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,68
35,Connecticut,86.55,5,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,41
36,Vermont,80.32,13,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,261
37,Alabama,85.15,6,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,333
38,Montana State,74.3,14,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,147
39,Davidson,81.83,10,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2166
40,Cal State Fullerton,71.78,15,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2239
41,Norfolk State,71.39,16,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2450
42,Marquette,81.9,9,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,269
43,Indiana,83.45,12,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,84
44,Akron,76.65,13,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2006
45,Virginia Tech,84.68,11,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,259
46,Yale,74.74,14,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,43
47,San Francisco,82.94,10,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2539
48,Kentucky,91.22,2,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,96
49,Texas Southern,71.14,16,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2640
50,San Diego State,83.49,8,68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,21
51,Iowa,88.96,5,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2294
52,South Dakota State,79.67,13,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2571
53,Louisiana State,85.72,6,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,99
54,Colgate,76.4,14,86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2142
55,Southern California,83.02,7,88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,30
56,Jacksonville State,73.15,15,94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,55
57,Wright State,74.25,16,98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2750
58,Seton Hall,82.61,8,100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2550
59,Alabama-Birmingham,81.17,12,106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,5
60,Chattanooga,78.7,13,110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,236
61,Colorado State,81.65,6,112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,36
62,Longwood,73.42,14,118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2344
63,Loyola (IL),83.7,10,122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2350
64,Delaware,73.57,15,126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,48
65,Rutgers,81.13,11,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,164
66,Wyoming,78.49,12,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2751
67,Texas A&M-Corpus Christi,67.3,16,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,357
68,Bryant,71.55,16,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2803
