bracket_id,Round,Picks,Winner,Correct?,Points,Total,mean_ev
99999,1,Gonzaga,0,0,0,0,25.902883000000042
99999,1,Missouri,0,0,0,0,25.902883000000042
99999,1,Creighton,0,0,0,0,25.902883000000042
99999,1,Virginia,0,0,0,0,25.902883000000042
99999,1,Southern California,0,0,0,0,25.902883000000042
99999,1,Eastern Washington,0,0,0,0,25.902883000000042
99999,1,Oregon,0,0,0,0,25.902883000000042
99999,1,Iowa,0,0,0,0,25.902883000000042
99999,1,Michigan,0,0,0,0,25.902883000000042
99999,1,Lousiana State,0,0,0,0,25.902883000000042
99999,1,Colorado,0,0,0,0,25.902883000000042
99999,1,Florida State,0,0,0,0,25.902883000000042
99999,1,Michigan State,0,0,0,0,25.902883000000042
99999,1,Texas,0,0,0,0,25.902883000000042
99999,1,Connecticut,0,0,0,0,25.902883000000042
99999,1,Alabama,0,0,0,0,25.902883000000042
99999,1,Illinois,0,0,0,0,25.902883000000042
99999,1,Loyola (IL),0,0,0,0,25.902883000000042
99999,1,Tennessee,0,0,0,0,25.902883000000042
99999,1,Oklahoma State,0,0,0,0,25.902883000000042
99999,1,San Diego State,0,0,0,0,25.902883000000042
99999,1,West Virginia,0,0,0,0,25.902883000000042
99999,1,Rutgers,0,0,0,0,25.902883000000042
99999,1,Houston,0,0,0,0,25.902883000000042
99999,1,Baylor,0,0,0,0,25.902883000000042
99999,1,Wisconsin,0,0,0,0,25.902883000000042
99999,1,Villanova,0,0,0,0,25.902883000000042
99999,1,Purdue,0,0,0,0,25.902883000000042
99999,1,Texas Tech,0,0,0,0,25.902883000000042
99999,1,Arkansas,0,0,0,0,25.902883000000042
99999,1,Florida,0,0,0,0,25.902883000000042
99999,1,Ohio State,0,0,0,0,25.902883000000042
99999,2,Gonzaga,0,0,0,0,25.902883000000042
99999,2,Virginia,0,0,0,0,25.902883000000042
99999,2,Southern California,0,0,0,0,25.902883000000042
99999,2,Iowa,0,0,0,0,25.902883000000042
99999,2,Michigan,0,0,0,0,25.902883000000042
99999,2,Colorado,0,0,0,0,25.902883000000042
99999,2,Texas,0,0,0,0,25.902883000000042
99999,2,Alabama,0,0,0,0,25.902883000000042
99999,2,Illinois,0,0,0,0,25.902883000000042
99999,2,Tennessee,0,0,0,0,25.902883000000042
99999,2,San Diego State,0,0,0,0,25.902883000000042
99999,2,Houston,0,0,0,0,25.902883000000042
99999,2,Baylor,0,0,0,0,25.902883000000042
99999,2,Purdue,0,0,0,0,25.902883000000042
99999,2,Texas Tech,0,0,0,0,25.902883000000042
99999,2,Ohio State,0,0,0,0,25.902883000000042
99999,3,Gonzaga,0,0,0,0,25.902883000000042
99999,3,Iowa,0,0,0,0,25.902883000000042
99999,3,Michigan,0,0,0,0,25.902883000000042
99999,3,Alabama,0,0,0,0,25.902883000000042
99999,3,Illinois,0,0,0,0,25.902883000000042
99999,3,Houston,0,0,0,0,25.902883000000042
99999,3,Baylor,0,0,0,0,25.902883000000042
99999,3,Ohio State,0,0,0,0,25.902883000000042
99999,4,Gonzaga,0,0,0,0,25.902883000000042
99999,4,Alabama,0,0,0,0,25.902883000000042
99999,4,Houston,0,0,0,0,25.902883000000042
99999,4,Baylor,0,0,0,0,25.902883000000042
99999,5,Gonzaga,0,0,0,0,25.902883000000042
99999,5,Baylor,0,0,0,0,25.902883000000042
99999,6,Baylor,0,0,0,0,25.902883000000042
